trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1b319e9f-9b69-404d-8c4c-7b4a7cd7bc53,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
121b3622-7f4d-459a-be17-cc21d765859c,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
8c188105-618b-4d30-9d6b-d2b11e4b1096,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
cf58b30c-d4de-4984-b43b-d78911f2e1f9,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
578e27a6-b7fc-486b-95de-b157ec07610c,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
5008d650-8df9-4070-b833-d5ac3f8a199f,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
7865b471-0061-45e1-9a84-634e76dda7e4,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
60f58632-c7ee-4663-8c8c-5a04480a291b,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
bff12843-2dbf-4d05-8dc0-833d25eab8ca,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
30345913-dadf-4a58-89b0-49d82dc46f9f,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
3e690672-036b-4168-a31b-cc8baad79c7a,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
1c6cb1dd-db3e-4146-9617-e5e453061bec,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
9dad6711-824c-4127-b8f1-24def77d9353,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
524ba3be-d939-4ca3-897a-1d53d1355721,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
593b64d9-98c0-4945-843e-8ae05003af2f,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
ea6f650f-8176-45e4-9e56-4ff9e971c441,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
3177ef30-9ac8-4bc4-ae46-dbba71990916,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
6760817b-46aa-4f53-a171-f106fa975c6a,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
3163c990-0322-492f-9e41-b366e7359c63,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
d01a6919-a289-43f9-88df-fc2e786205bd,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
7e31d356-085e-42fb-8c1b-d079c569fe83,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
b2be96fc-ee6a-4ed8-96d7-a435171a3b0a,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
ec21d638-1f04-4b65-a193-46c1815b82f7,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
c3eeeba4-c52b-4bee-b565-0f031504f8ab,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
c41e7eb2-2c27-4794-8722-8653946a63be,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
df3fc8d0-f734-4d5d-9341-62f460734524,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
2cca9bac-7d5b-45df-81d3-5a330df1db06,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
3a63d274-2c46-4704-874e-364642691f43,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
5b02b07f-255d-4339-9e08-2d0f7c84a3ce,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
41557260-63c0-4a70-bbf4-a8be0c4b91bc,47191096-0a58-41fb-9ca4-3963d2c2a312,6ec81bf7-44c5-4b98-99d9-389d644b69f6_25a7beb6-8981-490d-92d6-3b45c306e81a,Caleta,,0,,48e53e1d-7d61-4829-8c77-c0d6c5450ea1,
