id,nombre
248,"Arabial"
249,"Cno. Ronda 60"
250,"Arabial 19"
251,"Cno. Ronda 71"
252,"Cno. Ronda 82"
253,"Cno. Ronda 100"
254,"Cno. Ronda 97"
255,"Cno. Ronda 130"
256,"Cno de Ronda 115"
257,"Cno. Ronda 148"
258,"Cno. Ronda 125"
259,"Cno. Ronda 172"
260,"Cno. Ronda 153"
261,"Cno. Ronda 184"
262,"Cno. Ronda 157"
263,"Cardenal Parrado 51"
264,"Cardenal Parrado 1"
265,"Andarax 76"
266,"Andarax 22"
268,"Casería de Aguirre 63"
269,"Casería de Aguirre Fte 63"
270,"Casería de Aguirre"
271,"Casería del Cerro"
272,"Casería del Cerro 86"
273,"Casería del Cerro"
274,"Casería del Cerro"
275,"Casería del Cerro"
276,"Cementerio San José"
277,"Cerrillo de Maracena"
278,"Poeta Mira de Amézcua 1"
279,"Prof. Vicente Callao"
280,"Prof. Vicente Callao"
281,"Circunvalación Encina 4"
282,"Avda. Andalucía 27"
283,"Los Rebites"
284,"Cno. Viejo del Fargue"
285,"Cno. Viejo del Fargue Fte 63"
286,"Cno. Viejo del Fargue"
288,"Cno. Viejo del Fargue Fte Subestación"
289,"Cno. Viejo del Fargue"
290,"Profesor Clavera"
291,"Profesor Clavera"
292,"Calle de Concepción Arenal I"
295,"Avda. Constitución 2"
296,"Avda. Constitución 20"
298," Fuente Nueva"
299,"Avda. Constitución 27"
300,"Avda. Constitución 21"
303,"Avda Constitución 50"
304,"Avda. Constitución 41- Caleta"
305,"Fernando de los Ríos"
306,"Cruz de Sur  3"
307,"Cno. Alfacar"
308,"Cno. Alfacar"
309,"Cno. Alfacar 27"
310,"Cno. Alfacar 1- Casería Montijo"
311,"Cno. Alfacar"
312,"Cno. Alfacar"
313,"Cno. Alfacar"
314,"Cno. Alfacar"
315,"Julio Moreno Dávila-IES Cartuja"
316,"Ctra. Alfacar"
317,"Cno. Alfacar"
318,"Cno. Alfacar"
319,"Fernando de los Ríos 23"
320,"Fernando de los Rios 24"
321,"Fernando de los Ríos 35"
322,"Fernando de los Ríos 8"
323,"Juan Pablo II 6"
324,"Juan Pablo II 5"
325,"Juan Pablo II 72"
326,"Juan Pablo II 17"
328,"Ctra. de la Sierra 70"
330,"Ctra. de la Sierra 46"
332,"Ctra. de la Sierra 30"
334,"Ctra. de la Sierra 14"
335,"Ctra. de la Sierra 13"
336,"Ctra. de la Sierra Fte 137"
337,"Ctra. de la Sierra 130"
339,"Ctra. de la Sierra 114"
341,"Andrés Segovia"
342,"Andrés Segovia 60"
343,"Ctra. Murcia"
344,"Ctra Murcia"
346,"Mirador San Cristóbal-Albaicín"
348,"Ctra. Murcia"
350,"Ctra. Murcia"
352,"Avda. Dílar"
353,"Ctra. Málaga"
354,"Ctra. Málaga"
355,"Ctra. Málaga 54"
356,"Ctra. Málaga"
357,"Ctra. Málaga 74"
358,"Ctra. Málaga 69"
359,"Ctra. Málaga 88"
360,"Ctra. Málaga 81"
361,"Ctra. Málaga 116"
362,"Ctra. Málaga 125"
363,"Ctra. Málaga 142"
364,"Ctra. Málaga Fte 142"
365,"Ctra. Málaga"
366,"Ctra. Málaga 191"
367,"Ctra. Málaga 193"
368,"Ctra. Málaga 160"
369,"Cuesta Escoriaza I"
370,"Cuesta Escoriaza V"
371,"Campus Universitario"
372,"Doctor Azpitarte"
373,"Doctor Azpitarte 1- Cáritas"
374,"Doctor Castroviejo 13"
375,"Juan Pablo II"
376,"Doctor Olóriz 14"
377,"Cno. Real de los Neveros"
378,"Cno. Real de los Neveros"
379,"Emperatriz Eugenia 18"
380,"Profesor Clavera"
381,"Profesor Clavera"
382,"Juan Pablo II"
383,"Estación de Autobuses"
384,"Estación de Autobuses I"
385,"Fargue-Mirador del Veleta"
386,"Fargue 2"
387,"Fargue Fte 2"
388,"Fargue"
389,"Fargue 49"
390,"Fargue"
391,"Fargue 25"
392,"Fargue"
393,"Fargue"
394,"Fargue"
395,"Fargue"
396,"Profesor Clavera"
397,"Profesor Clavera"
398,"Ferial"
399,"Plaza de Europa"
400,"Plaza de Europa"
401,"Fernando Gómez de la Cruz"
402,"Fernando Gómez de la Cruz 59"
403,"Profesor Clavera"
404,"Profesor Clavera"
405,"Francisco Pradilla 6"
406,"Francisco Pradilla"
407,"Avda. Fuente Nueva 5"
408,"José Mª Garrido Lopera 3"
410,"Profesor Garzón Pareja 23"
411,"San Juan de Dios 7"
412,"Gran Capitán 25"
413,"Gran Via"
414,"Gran Vía 14"
416,"Gran Vía 28"
418,"Sagrado Corazón"
420,"Gran Vía 54"
422,"Gran Vía 61"
425,"Ctra. Murcia"
426,"Ctra. Murcia 210"
427,"Henríquez de Jorquera 10"
428,"Henríquez de Jorquera 18"
429,"Julio Moreno Dávila 14"
431,"Julio Moreno Dávila"
432,"Julio Moreno Dávila 3"
433,"Joaquina Eguaras 1"
434,"Joaquina Eguaras 2- Delegación JJAA"
435,"Joaquina Eguaras 7"
436,"Joaquina Eguaras 60"
437,"Joaquina Eguaras"
438,"Joaquina Eguaras 29"
439,"Jorge Torres 3"
440,"Jose Mª Carulla 1 I"
441,"José Mª Carulla 10"
442,"Juan Echevarría 2"
443,"Luis Amador 22"
444,"Luis Amador 7"
445,"Luis de Vicente 4"
446,"Luis de Vicente 5"
447,"Luis de Vicente 2 I"
448,"Luis de Vicente 2 V"
449,"Luis Seco de Lucena 7"
450,"Luis Seco de Lucena 1"
451,"Poeta Manuel de Góngora 9"
452,"Merced Alta"
453,"Arquitecto Modesto Cendoya 10"
454,"Andújar"
455,"Molinos 38"
456,"Molinos 68"
457,"Molinos 67"
458,"Paseo Cartuja"
459,"Paseo de Cartuja"
460,"Glorieta Neptuno"
461,"Avda. Andalucía 18"
462,"María Maeztu"
463,"Plaza de San Isidro-Iglesia"
465,"Plaza San Isidro"
466,"Pablo Picasso 33"
467,"Pablo Picasso 10"
468,"Palacio de Congresos"
469,"Palacio de Congresos 2"
470,"Emperador Carlos V"
471,"Palau y Quer 19"
472,"Palau y Quer 21"
473,"Palau y Quer 9"
474,"Palau y Quer 2 V"
475,"Parking Alhambra"
476,"Fernando de los Ríos"
477,"Gabriela Mistral 14"
478,"Joaquina Eguaras"
479,"Casería del Cerro 76"
484,"Paseo del Violon 1 V"
485,"Paseo del Violón"
486,"Violón"
487,"Plaza Isabel la Católica 2"
488,"Plaza Isabel la Católica 4"
489,"Santa Escolástica 2"
490,"Pedro Temboury 8"
491,"Pedro Temboury 1"
493,"El Pinar Fte 5"
494,"Carmen de San Miguel 2 I"
495,"Andarax 35"
496,"Cno. Viejo del Fargue 19"
497,"Pintor Maldonado-Estadio los Cármenes"
498,"Pintor Maldonado 42"
499,"Pintor Maldonado 25"
500,"Pintor Maldonado 24"
501,"Pintor Maldonado 11"
502,"Pintor Maldonado 12"
503,"Cno. de la Zubia 6"
504,"Plaza del Carmen"
505,"Plaza Einstein"
507,"Andrés Segovia 43"
508,"Andrés Segovia"
509,"Plaza Fortuny"
510,"Poeta Gracián 5"
511,"Conde de Torrepalma 4"
512,"Primavera 23"
513,"Primavera 27"
514,"Vicente Callao-R. Universitaria Carlos V"
515,"Profesor Clavera"
516,"Cabecera Línea 21"
518,"Puerta Real 10"
521,"Plaza de los Campos V"
522,"Recogidas 35"
523,"Recogidas 2"
524,"Recogidas 5"
525,"Recogidas 38"
526,"Rodriguez de la Fuente I"
528,"San Francisco de Sales 15"
530,"Sagrada Familia 18"
531,"Sagrada Familia 28"
534,"Sánchez Cotán 4"
535,"Sanchez Cotán Fte 4"
536,"Sánchez Cotán 10"
537,"Sánchez Cotán 1"
538,"Sánchez Cotán 28"
539,"Sánchez Cotán 7"
540,"Sánchez Cotán 40"
541,"Sánchez Cotán 37"
542,"Sancho Panza 2"
543,"Sancho Panza 18"
544,"Santiago 75"
545,"Santiago 39"
546,"Plaza Realejo"
547,"Santo Domingo V"
548,"Severo Ochoa 11"
549,"Severo Ochoa"
551,"Prof. Vicente Callao"
552,"Prof. Vicente Callao"
553,"Tete Montoliú"
554,"Tete Montoliú-Centro Comercial"
555,"Tete Montoliú 6"
556,"Tete  Montoliú 16"
557,"Profesor Tierno Galván"
558,"Torre de Comares 8"
559,"Torre de Comares-Palacio Deportes"
560,"Ctra. Huétor Vega Fte 20"
561,"Poeta Gracián 2"
562,"Poeta Gracián 8"
563,"Fontiveros 46"
565,"Avda. Cervantes 13"
566,"Avda. Santa María Alhambra"
567,"Avda. Santa María Alhambra"
568,"Ctra. Murcia 65"
569,"Ctra. Murcia 55"
570,"Ctra. Murcia 47"
571,"Ctra. Murcia"
572,"Paseo Cartuja 4"
574,"Paseo de la Bomba 17"
575,"Paseo de los Basilios 2"
576,"Ctra. de la Sierra 137"
577,"Ctra. de la Sierra 69"
578,"Ctra. de la Sierra 49"
579,"Ctra. de la Sierra 31"
580,"Ctra. de la Sierra 87"
581,"Ctra. de la Sierra 71"
582,"Acera del Darro 1"
583,"Gran Vía 5- Catedral"
584,"Catedral Línea Buho"
